Ad account name,Campaign name,Ad set name,Ad name,Page ID,Post Id,Object Story ID
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Day 1 - L4,Main Ad,109798874815594,659952649929146,109798874815594_659952649929146
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 30 Days,Lease End Lender Partnerships Explained - Solution Aware,109798874815594,659947883262956,109798874815594_659947883262956
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,Lease End Customer Testimonial 1 - Video,109798874815594,659943423263402,109798874815594_659943423263402
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 30 Days,Why Drivers Don't Know About Lease Buyouts - Unaware,109798874815594,659934643264280,109798874815594_659934643264280
Lease End,Meta | BOF | Estimates,Facebook - Retargeting - Past 30 Days,Glenn Testimonial 1 - Video,109798874815594,659932409931170,109798874815594_659932409931170
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Lease End Customer Testimonial 1 - Unaware,109798874815594,593930109864734,109798874815594_593930109864734
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Skip Over the Dealership,109798874815594,656401093617635,109798874815594_656401093617635
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Turbocharge Your Lease Buyout,109798874815594,656401116950966,109798874815594_656401116950966
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,Lease End Lender Partnerships Explained - Solution Aware,109798874815594,651241334133611,109798874815594_651241334133611
Lease End,Meta | MOF | Estimates,Facebook - 75% Video Views - Estimates - L3,How Lease End Saves Drivers Time + Money - Solution Aware,109798874815594,651241350800276,109798874815594_651241350800276
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,639669271957484,109798874815594_639669271957484
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,Explore Your Options - Unaware,109798874815594,625379066719838,109798874815594_625379066719838
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,Why Drivers Don't Know About Lease Buyouts - Unaware,109798874815594,651276677463410,109798874815594_651276677463410
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,The Current Lease Market - Unaware,109798874815594,651276684130076,109798874815594_651276684130076
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - March 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - February 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
